type,name,source_file,folder
PROCEDURE,spBiCFDIExplotarMicrosipInicioFin,35-fiscalMicrosip.sql,root
PROCEDURE,spReportesFiscal,35-fiscalMicrosip.sql,root
PROCEDURE,spPagosRevisarComplemento,35-fiscalMicrosip.sql,root
PROCEDURE,spPagosRecordarComplemento,35-fiscalMicrosip.sql,root
PROCEDURE,spReportesListaNegra,35-fiscalMicrosip.sql,root
VIEW,biSAT69CFDIsRecibidos,35-fiscalMicrosip.sql,root
VIEW,biSATFirmesNoLocalizadosComprasYCxp,35-fiscalMicrosip.sql,root
VIEW,vwPolizasCfdiCancelado,35-fiscalMicrosip.sql,root
VIEW,vwEstatusCfdi,35-fiscalMicrosip.sql,root
VIEW,vwLogEstatusCfdi,35-fiscalMicrosip.sql,root
PROCEDURE,spReportesVentas_antes,49-spEspecialesMicrosip.sql,root
PROCEDURE,spReportesVentas_despues,49-spEspecialesMicrosip.sql,root
PROCEDURE,spReportesCompras_antes,49-spEspecialesMicrosip.sql,root
PROCEDURE,spReportesCompras_despues,49-spEspecialesMicrosip.sql,root
PROCEDURE,spReportesFinal,49-spEspecialesMicrosip.sql,root
PROCEDURE,spReportesCatalogos,50-spBIMicrosip.sql,root
PROCEDURE,spReportesVentas,50-spBIMicrosip.sql,root
PROCEDURE,spCorteVentas,50-spBIMicrosip.sql,root
PROCEDURE,spReportesCx,50-spBIMicrosip.sql,root
PROCEDURE,spCorteCx,50-spBIMicrosip.sql,root
PROCEDURE,spReportesConta,50-spBIMicrosip.sql,root
PROCEDURE,spImportarFlujoCaja,50-spBIMicrosip.sql,root
PROCEDURE,spReportesCompras,50-spBIMicrosip.sql,root
PROCEDURE,spCalcBiModulosGrupo1,50-spBIMicrosip.sql,root
PROCEDURE,spABC_calc,50-spBIMicrosip.sql,root
PROCEDURE,spCamposParticulares,50-spBIMicrosip.sql,root
PROCEDURE,spCalcBiModulosGrupo2,50-spBIMicrosip.sql,root
PROCEDURE,spProyectoResumen,50-spBIMicrosip.sql,root
PROCEDURE,spCalcBiModulosGrupo3,50-spBIMicrosip.sql,root
PROCEDURE,spCalcCorteGrupo3,50-spBIMicrosip.sql,root
PROCEDURE,spBibliaInv,50-spBIMicrosip.sql,root
PROCEDURE,spInvAntiguedad,50-spBIMicrosip.sql,root
PROCEDURE,spInvAntiguedadAlmacen,50-spBIMicrosip.sql,root
PROCEDURE,spBibliaInvAlmacen,50-spBIMicrosip.sql,root
PROCEDURE,spImportarEqTable,50-spBIMicrosip.sql,root
PROCEDURE,spImportarParametrosCx,50-spBIMicrosip.sql,root
PROCEDURE,spReportesVentasBig,51-spBIMicrosipBig.sql,root
PROCEDURE,spReportesHistorico,52-spBIMicrosipHistorico.sql,root
PROCEDURE,spPostInitial,60-spPostMicrosip.sql,root
PROCEDURE,spAnalyzeSyncTables,60-spPostMicrosip.sql,root
PROCEDURE,spPostFinal,60-spPostMicrosip.sql,root
PROCEDURE,xpPostInitial,60-spPostMicrosip.sql,root
PROCEDURE,xpPostFinal,60-spPostMicrosip.sql,root
PROCEDURE,spRequestIngestion,60-spPostMicrosip.sql,root
EVENT,instalacionInicial,instalacion-1a-vez.sql,root
